DATE,MarketCap_All,BTC_SOL_ETH
2022-03-21,,
2022-03-22,,
2022-03-23,,
2022-03-24,,
2022-03-25,,
2022-03-28,,
2022-03-29,,
2022-03-30,,
2022-03-31,,
2022-04-01,1.1817177536689538e-06,6.331290773350107e-06
2022-04-04,,
2022-04-05,,
2022-04-06,,
2022-04-07,,
2022-04-08,,
2022-04-11,,
2022-04-12,,
2022-04-13,,
2022-04-14,,
2022-04-18,,
2022-04-19,,
2022-04-20,,
2022-04-21,,
2022-04-22,,
2022-04-25,,
2022-04-26,,
2022-04-27,,
2022-04-28,,
2022-04-29,,
2022-05-02,5.299608582607762e-07,5.1662575204323045e-06
2022-05-03,,
2022-05-04,,
2022-05-05,,
2022-05-06,,
2022-05-09,,
2022-05-10,,
2022-05-11,,
2022-05-12,,
2022-05-13,,
2022-05-16,,
2022-05-17,,
2022-05-18,,
2022-05-19,,
2022-05-20,,
2022-05-23,,
2022-05-24,,
2022-05-25,,
2022-05-26,,
2022-05-27,,
2022-05-31,,
2022-06-01,1.3230638436587542e-06,5.474840019919534e-06
2022-06-02,,
2022-06-03,,
2022-06-06,,
2022-06-07,,
2022-06-08,,
2022-06-09,,
2022-06-10,,
2022-06-13,,
2022-06-14,,
2022-06-15,,
2022-06-16,,
2022-06-17,,
2022-06-21,,
2022-06-22,,
2022-06-23,,
2022-06-24,,
2022-06-27,,
2022-06-28,,
2022-06-29,,
2022-06-30,,
2022-07-01,5.643845898977172e-07,2.786111630190152e-06
2022-07-05,,
2022-07-06,,
2022-07-07,,
2022-07-08,,
2022-07-11,,
2022-07-12,,
2022-07-13,,
2022-07-14,,
2022-07-15,,
2022-07-18,,
2022-07-19,,
2022-07-20,,
2022-07-21,,
2022-07-22,,
2022-07-25,,
2022-07-26,,
2022-07-27,,
2022-07-28,,
2022-07-29,,
2022-08-01,9.704023774366433e-07,2.8456928779044427e-06
2022-08-02,,
2022-08-03,,
2022-08-04,,
2022-08-05,,
2022-08-08,,
2022-08-09,,
2022-08-10,,
2022-08-11,,
2022-08-12,,
2022-08-15,,
2022-08-16,,
2022-08-17,,
2022-08-18,,
2022-08-19,,
2022-08-22,,
2022-08-23,,
2022-08-24,,
2022-08-25,,
2022-08-26,,
2022-08-29,,
2022-08-30,,
2022-08-31,,
2022-09-01,5.082176216747551e-07,2.0396166464940874e-06
2022-09-02,,
2022-09-06,,
2022-09-07,,
2022-09-08,,
2022-09-09,,
2022-09-12,,
2022-09-13,,
2022-09-14,,
2022-09-15,,
2022-09-16,,
2022-09-19,,
2022-09-20,,
2022-09-21,,
2022-09-22,,
2022-09-23,,
2022-09-26,,
2022-09-27,,
2022-09-28,,
2022-09-29,,
2022-09-30,,
2022-10-03,6.205201713467601e-07,1.916126997021124e-06
2022-10-04,,
2022-10-05,,
2022-10-06,,
2022-10-07,,
2022-10-10,,
2022-10-11,,
2022-10-12,,
2022-10-13,,
2022-10-14,,
2022-10-17,,
2022-10-18,,
2022-10-19,,
2022-10-20,,
2022-10-21,,
2022-10-24,,
2022-10-25,,
2022-10-26,,
2022-10-27,,
2022-10-28,,
2022-10-31,,
2022-11-01,7.574148067488533e-07,1.9012110032800673e-06
2022-11-02,,
2022-11-03,,
2022-11-04,,
2022-11-07,,
2022-11-08,,
2022-11-09,,
2022-11-10,,
2022-11-11,,
2022-11-14,,
2022-11-15,,
2022-11-16,,
2022-11-17,,
2022-11-18,,
2022-11-21,,
2022-11-22,,
2022-11-23,,
2022-11-25,,
2022-11-28,,
2022-11-29,,
2022-11-30,,
2022-12-01,3.813772533321147e-07,4.465140425906153e-06
2022-12-02,,
2022-12-05,,
2022-12-06,,
2022-12-07,,
2022-12-08,,
2022-12-09,,
2022-12-12,,
2022-12-13,,
2022-12-14,,
2022-12-15,,
2022-12-16,,
2022-12-19,,
2022-12-20,,
2022-12-21,,
2022-12-22,,
2022-12-23,,
2022-12-27,,
2022-12-28,,
2022-12-29,,
2022-12-30,,
2023-01-03,3.1932276198684123e-07,2.647317083081263e-07
2023-01-04,,
2023-01-05,,
2023-01-06,,
2023-01-09,,
2023-01-10,,
2023-01-11,,
2023-01-12,,
2023-01-13,,
2023-01-17,,
2023-01-18,,
2023-01-19,,
2023-01-20,,
2023-01-23,,
2023-01-24,,
2023-01-25,,
2023-01-26,,
2023-01-27,,
2023-01-30,,
2023-01-31,,
2023-02-01,5.119026330849983e-07,3.621735108061417e-06
2023-02-02,,
2023-02-03,,
2023-02-06,,
2023-02-07,,
2023-02-08,,
2023-02-09,,
2023-02-10,,
2023-02-13,,
2023-02-14,,
2023-02-15,,
2023-02-16,,
2023-02-17,,
2023-02-21,,
2023-02-22,,
2023-02-23,,
2023-02-24,,
2023-02-27,,
2023-02-28,,
2023-03-01,2.499358023791865e-07,1.205621668641031e-06
2023-03-02,,
2023-03-03,,
2023-03-06,,
2023-03-07,,
2023-03-08,,
2023-03-09,,
2023-03-10,,
2023-03-13,,
2023-03-14,,
2023-03-15,,
2023-03-16,,
2023-03-17,,
2023-03-20,,
2023-03-21,,
2023-03-22,,
2023-03-23,,
2023-03-24,,
2023-03-27,,
2023-03-28,,
2023-03-29,,
2023-03-30,,
2023-03-31,,
2023-04-03,6.827411890731381e-07,2.50167168806204e-06
2023-04-04,,
2023-04-05,,
2023-04-06,,
2023-04-10,,
2023-04-11,,
2023-04-12,,
2023-04-13,,
2023-04-14,,
2023-04-17,,
2023-04-18,,
2023-04-19,,
2023-04-20,,
2023-04-21,,
2023-04-24,,
2023-04-25,,
2023-04-26,,
2023-04-27,,
2023-04-28,,
2023-05-01,1.857859988454951e-07,7.58811424349265e-07
2023-05-02,,
2023-05-03,,
2023-05-04,,
2023-05-05,,
2023-05-08,,
2023-05-09,,
2023-05-10,,
2023-05-11,,
2023-05-12,,
2023-05-15,,
2023-05-16,,
2023-05-17,,
2023-05-18,,
2023-05-19,,
2023-05-22,,
2023-05-23,,
2023-05-24,,
2023-05-25,,
2023-05-26,,
2023-05-30,,
2023-05-31,,
2023-06-01,4.4557193656519673e-07,8.912359993653967e-07
2023-06-02,,
2023-06-05,,
2023-06-06,,
2023-06-07,,
2023-06-08,,
2023-06-09,,
2023-06-12,,
2023-06-13,,
2023-06-14,,
2023-06-15,,
2023-06-16,,
2023-06-20,,
2023-06-21,,
2023-06-22,,
2023-06-23,,
2023-06-26,,
2023-06-27,,
2023-06-28,,
2023-06-29,,
2023-06-30,,
2023-07-03,1.2097602608548056e-06,1.981275907395639e-06
2023-07-05,,
2023-07-06,,
2023-07-07,,
2023-07-10,,
2023-07-11,,
2023-07-12,,
2023-07-13,,
2023-07-14,,
2023-07-17,,
2023-07-18,,
2023-07-19,,
2023-07-20,,
2023-07-21,,
2023-07-24,,
2023-07-25,,
2023-07-26,,
2023-07-27,,
2023-07-28,,
2023-07-31,,
2023-08-01,1.1713410754108933e-06,3.63367825599179e-06
2023-08-02,,
2023-08-03,,
2023-08-04,,
2023-08-07,,
2023-08-08,,
2023-08-09,,
2023-08-10,,
2023-08-11,,
2023-08-14,,
2023-08-15,,
2023-08-16,,
2023-08-17,,
2023-08-18,,
2023-08-21,,
2023-08-22,,
2023-08-23,,
2023-08-24,,
2023-08-25,,
2023-08-28,,
2023-08-29,,
2023-08-30,,
2023-08-31,,
2023-09-01,3.470792876242036e-07,8.414296450044446e-07
2023-09-05,,
2023-09-06,,
2023-09-07,,
2023-09-08,,
2023-09-11,,
2023-09-12,,
2023-09-13,,
2023-09-14,,
2023-09-15,,
2023-09-18,,
2023-09-19,,
2023-09-20,,
2023-09-21,,
2023-09-22,,
2023-09-25,,
2023-09-26,,
2023-09-27,,
2023-09-28,,
2023-09-29,,
2023-10-02,3.2431069467122803e-07,1.8291200386387724e-06
2023-10-03,,
2023-10-04,,
2023-10-05,,
2023-10-06,,
2023-10-09,,
2023-10-10,,
2023-10-11,,
2023-10-12,,
2023-10-13,,
2023-10-16,,
2023-10-17,,
2023-10-18,,
2023-10-19,,
2023-10-20,,
2023-10-23,,
2023-10-24,,
2023-10-25,,
2023-10-26,,
2023-10-27,,
2023-10-30,,
2023-10-31,,
2023-11-01,1.17518162505779e-06,7.014262735574259e-06
2023-11-02,,
2023-11-03,,
2023-11-06,,
2023-11-07,,
2023-11-08,,
2023-11-09,,
2023-11-10,,
2023-11-13,,
2023-11-14,,
2023-11-15,,
2023-11-16,,
2023-11-17,,
2023-11-20,,
2023-11-21,,
2023-11-22,,
2023-11-24,,
2023-11-27,,
2023-11-28,,
2023-11-29,,
2023-11-30,,
2023-12-01,6.448853526002949e-07,5.6209275488650276e-06
2023-12-04,,
2023-12-05,,
2023-12-06,,
2023-12-07,,
2023-12-08,,
2023-12-11,,
2023-12-12,,
2023-12-13,,
2023-12-14,,
2023-12-15,,
2023-12-18,,
2023-12-19,,
2023-12-20,,
2023-12-21,,
2023-12-22,,
2023-12-26,,
2023-12-27,,
2023-12-28,,
2023-12-29,,
2024-01-02,1.2483301093147556e-06,1.3196339981638805e-05
2024-01-03,,
2024-01-04,,
2024-01-05,,
2024-01-08,,
2024-01-09,,
2024-01-10,,
2024-01-11,,
2024-01-12,,
2024-01-16,,
2024-01-17,,
2024-01-18,,
2024-01-19,,
2024-01-22,,
2024-01-23,,
2024-01-24,,
2024-01-25,,
2024-01-26,,
2024-01-29,,
2024-01-30,,
2024-01-31,,
2024-02-01,4.844161984799275e-07,1.4125187239986026e-06
2024-02-02,,
2024-02-05,,
2024-02-06,,
2024-02-07,,
2024-02-08,,
2024-02-09,,
2024-02-12,,
2024-02-13,,
2024-02-14,,
2024-02-15,,
2024-02-16,,
2024-02-20,,
2024-02-21,,
2024-02-22,,
2024-02-23,,
2024-02-26,,
2024-02-27,,
2024-02-28,,
2024-02-29,,
2024-03-01,9.877853187632383e-07,3.7920382759396898e-06
2024-03-04,,
2024-03-05,,
2024-03-06,,
2024-03-07,,
2024-03-08,,
2024-03-11,,
2024-03-12,,
2024-03-13,,
2024-03-14,,
2024-03-15,,
2024-03-18,,
2024-03-19,,
2024-03-20,,
2024-03-21,,
2024-03-22,,
2024-03-25,,
2024-03-26,,
2024-03-27,,
2024-03-28,,
2024-04-01,2.084726207916428e-06,1.5721762997521983e-05
2024-04-02,,
2024-04-03,,
2024-04-04,,
2024-04-05,,
2024-04-08,,
2024-04-09,,
2024-04-10,,
2024-04-11,,
2024-04-12,,
2024-04-15,,
2024-04-16,,
2024-04-17,,
2024-04-18,,
2024-04-19,,
2024-04-22,,
2024-04-23,,
2024-04-24,,
2024-04-25,,
2024-04-26,,
2024-04-29,,
2024-04-30,,
2024-05-01,6.660907078604089e-07,6.536681198845937e-06
2024-05-02,,
2024-05-03,,
2024-05-06,,
2024-05-07,,
2024-05-08,,
2024-05-09,,
2024-05-10,,
2024-05-13,,
2024-05-14,,
2024-05-15,,
2024-05-16,,
2024-05-17,,
2024-05-20,,
2024-05-21,,
2024-05-22,,
2024-05-23,,
2024-05-24,,
2024-05-28,,
2024-05-29,,
2024-05-30,,
2024-05-31,,
2024-06-03,9.575598446931448e-07,2.3880253307059164e-06
2024-06-04,,
2024-06-05,,
2024-06-06,,
2024-06-07,,
2024-06-10,,
2024-06-11,,
2024-06-12,,
2024-06-13,,
2024-06-14,,
2024-06-17,,
2024-06-18,,
2024-06-20,,
2024-06-21,,
2024-06-24,,
2024-06-25,,
2024-06-26,,
2024-06-27,,
2024-06-28,,
2024-07-01,1.8285194128261167e-07,1.0977675530139964e-06
2024-07-02,,
2024-07-03,,
2024-07-05,,
2024-07-08,,
2024-07-09,,
2024-07-10,,
2024-07-11,,
2024-07-12,,
2024-07-15,,
2024-07-16,,
2024-07-17,,
2024-07-18,,
2024-07-19,,
2024-07-22,,
2024-07-23,,
2024-07-24,,
2024-07-25,,
2024-07-26,,
2024-07-29,,
2024-07-30,,
2024-07-31,,
2024-08-01,1.3171546695636029e-06,6.515600848540913e-06
2024-08-02,,
2024-08-05,,
2024-08-06,,
2024-08-07,,
2024-08-08,,
2024-08-09,,
2024-08-12,,
2024-08-13,,
2024-08-14,,
2024-08-15,,
2024-08-16,,
2024-08-19,,
2024-08-20,,
2024-08-21,,
2024-08-22,,
2024-08-23,,
2024-08-26,,
2024-08-27,,
2024-08-28,,
2024-08-29,,
2024-08-30,,
2024-09-03,1.438890569271564e-06,5.044653210461655e-06
2024-09-04,,
2024-09-05,,
2024-09-06,,
2024-09-09,,
2024-09-10,,
2024-09-11,,
2024-09-12,,
2024-09-13,,
2024-09-16,,
2024-09-17,,
2024-09-18,,
2024-09-19,,
2024-09-20,,
2024-09-23,,
2024-09-24,,
2024-09-25,,
2024-09-26,,
2024-09-27,,
2024-09-30,,
2024-10-01,4.265386636959182e-07,3.461742907967086e-06
2024-10-02,,
2024-10-03,,
2024-10-04,,
2024-10-07,,
2024-10-08,,
2024-10-09,,
2024-10-10,,
2024-10-11,,
2024-10-14,,
2024-10-15,,
2024-10-16,,
2024-10-17,,
2024-10-18,,
2024-10-21,,
2024-10-22,,
2024-10-23,,
2024-10-24,,
2024-10-25,,
2024-10-28,,
2024-10-29,,
2024-10-30,,
2024-10-31,,
2024-11-01,1.9376530052304368e-06,4.212268843346301e-06
2024-11-04,,
2024-11-05,,
2024-11-06,,
2024-11-07,,
2024-11-08,,
2024-11-11,,
2024-11-12,,
2024-11-13,,
2024-11-14,,
2024-11-15,,
2024-11-18,,
2024-11-19,,
2024-11-20,,
2024-11-21,,
2024-11-22,,
2024-11-25,,
2024-11-26,,
2024-11-27,,
2024-11-29,,
2024-12-02,1.5050998502011894e-05,3.2455568945908445e-06
2024-12-03,,
2024-12-04,,
2024-12-05,,
2024-12-06,,
2024-12-09,,
2024-12-10,,
2024-12-11,,
2024-12-12,,
2024-12-13,,
2024-12-16,,
2024-12-17,,
2024-12-18,,
2024-12-19,,
2024-12-20,,
2024-12-23,,
2024-12-24,,
2024-12-26,,
2024-12-27,,
2024-12-30,,
2024-12-31,,
2025-01-02,2.036187022269181e-06,4.251522442031028e-06
2025-01-03,,
2025-01-06,,
2025-01-07,,
2025-01-08,,
2025-01-10,,
2025-01-13,,
2025-01-14,,
2025-01-15,,
2025-01-16,,
2025-01-17,,
2025-01-21,,
2025-01-22,,
2025-01-23,,
2025-01-24,,
2025-01-27,,
2025-01-28,,
2025-01-29,,
2025-01-30,,
2025-01-31,,
2025-02-03,4.100958903810207e-06,1.1009983767634276e-05
2025-02-04,,
2025-02-05,,
2025-02-06,,
2025-02-07,,
2025-02-10,,
2025-02-11,,
2025-02-12,,
2025-02-13,,
2025-02-14,,
2025-02-18,,
2025-02-19,,
2025-02-20,,
2025-02-21,,
2025-02-24,,
2025-02-25,,
2025-02-26,,
2025-02-27,,
2025-02-28,,
2025-03-03,2.388132619980168e-06,7.657847848024274e-06
2025-03-04,,
2025-03-05,,
2025-03-06,,
2025-03-07,,
2025-03-10,,
2025-03-11,,
2025-03-12,,
2025-03-13,,
2025-03-14,,
2025-03-17,,
2025-03-18,,
2025-03-19,,
2025-03-20,,
2025-03-21,,
2025-03-24,,
2025-03-25,,
2025-03-26,,
2025-03-27,,
2025-03-28,,
2025-03-31,,
2025-04-01,1.913772826213687e-06,3.8540908451117954e-06
2025-04-02,,
2025-04-03,,
2025-04-04,,
2025-04-07,,
2025-04-08,,
2025-04-09,,
2025-04-10,,
2025-04-11,,
2025-04-14,,
2025-04-15,,
2025-04-16,,
2025-04-17,,
2025-04-21,,
2025-04-22,,
2025-04-23,,
2025-04-24,,
2025-04-25,,
2025-04-28,,
2025-04-29,,
2025-04-30,,
2025-05-01,2.829415544605444e-06,7.029149460659667e-06
2025-05-02,,
2025-05-05,,
2025-05-06,,
2025-05-07,,
2025-05-08,,
2025-05-09,,
2025-05-12,,
2025-05-13,,
2025-05-14,,
2025-05-15,,
2025-05-16,,
2025-05-19,,
2025-05-20,,
2025-05-21,,
2025-05-22,,
2025-05-23,,
2025-05-27,,
2025-05-28,,
2025-05-29,,
2025-05-30,,
2025-06-02,4.43875359744537e-06,1.365660509863165e-05
2025-06-03,,
2025-06-04,,
2025-06-05,,
2025-06-06,,
2025-06-09,,
2025-06-10,,
2025-06-11,,
2025-06-12,,
2025-06-13,,
2025-06-16,,
2025-06-17,,
2025-06-18,,
2025-06-20,,
2025-06-23,,
2025-06-24,,
2025-06-25,,
2025-06-26,,
2025-06-27,,
2025-06-30,,
2025-07-01,1.5221635221519472e-06,3.2027503519765266e-06
2025-07-02,,
2025-07-03,,
2025-07-07,,
2025-07-08,,
2025-07-09,,
2025-07-10,,
2025-07-11,,
2025-07-14,,
2025-07-15,,
2025-07-16,,
2025-07-17,,
2025-07-18,,
2025-07-21,,
2025-07-22,,
2025-07-23,,
2025-07-24,,
2025-07-25,,
2025-07-28,,
2025-07-29,,
2025-07-30,,
2025-07-31,,
2025-08-01,6.879780067461032e-06,1.5908748626870355e-05
2025-08-04,,
2025-08-05,,
2025-08-06,,
2025-08-07,,
2025-08-08,,
2025-08-11,,
2025-08-12,,
2025-08-13,,
2025-08-14,,
2025-08-15,,
2025-08-18,,
2025-08-19,,
2025-08-20,,
2025-08-21,,
2025-08-22,,
2025-08-25,,
2025-08-26,,
2025-08-27,,
2025-08-28,,
2025-08-29,,
2025-09-02,5.866170978963481e-06,1.5082221653256647e-05
2025-09-03,,
2025-09-04,,
2025-09-05,,
2025-09-08,,
2025-09-09,,
2025-09-10,,
2025-09-11,,
2025-09-12,,
2025-09-15,,
2025-09-16,,
2025-09-17,,
2025-09-18,,
2025-09-19,,
2025-09-22,,
2025-09-23,,
2025-09-24,,
2025-09-25,,
2025-09-26,,
2025-09-29,,
2025-09-30,,
2025-10-01,1.4860239799629832e-06,3.54511375522808e-06
2025-10-02,,
2025-10-03,,
2025-10-06,,
2025-10-07,,
2025-10-08,,
2025-10-09,,
2025-10-10,,
2025-10-13,,
2025-10-14,,
2025-10-15,,
2025-10-16,,
2025-10-17,,
2025-10-20,,
2025-10-21,,
2025-10-22,,
2025-10-23,,
2025-10-24,,
2025-10-27,,
2025-10-28,,
2025-10-29,,
2025-10-30,,
